,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_layers,param_optim,param_units1,param_units2,param_units3,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,3511.13614595,27.5814429522,0.770506301062,0.791069478202,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",5,0.76923076902,0.79831932781,0.771782397248,0.783819628595,4.03820598125,0.383499026299,0.00127581408308,0.00724984960783
1,1386.62707996,13.0133196115,0.777360159318,0.798365374311,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",1,0.775419982527,0.804953560503,0.779301194215,0.791777188118,4.56532692909,0.164773583412,0.0019406057962,0.00658818619261
2,5006.89614356,34.9127174616,0.771390669843,0.790627098355,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",3,0.770999115616,0.796992481308,0.771782397248,0.784261715402,17.9307883978,0.151283383369,0.000391640806719,0.00636538295343
3,2849.77844644,24.9606909752,0.77072739327,0.794163204794,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",4,0.770114942318,0.794338788226,0.771340115099,0.793987621363,4.33620643616,0.118587017059,0.000612586375469,0.000175583431449
4,4072.77581608,31.0372489691,0.772053946443,0.798807069971,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",2,0.766578249126,0.803184431773,0.777532065563,0.79442970817,28.1676930189,0.25788795948,0.00547690808471,0.00437736180137
0,3416.02729356,27.3688874245,0.768737563669,0.799245734897,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",5,0.755968169893,0.787704555612,0.781512605121,0.810786914182,1.1920953989,0.320834636688,0.0127722173019,0.0115411792853
1,1372.38624763,14.2948133945,0.790846783254,0.80875353073,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",2,0.79619805503,0.80097302084,0.785493144705,0.816534040619,16.560167551,0.0753135681152,0.00535245503128,0.00778050988964
2,5065.53766048,36.5888789892,0.787088215799,0.799910135757,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",4,0.79442970817,0.793454223821,0.779743476417,0.806366047693,36.0061894655,0.349238991737,0.00734311569709,0.00645591193576
3,2923.35771239,27.0822765827,0.792173336373,0.809636628537,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",1,0.795755968275,0.796107916877,0.788589119938,0.823165340196,6.83324944973,0.17036151886,0.00358342408122,0.0135287116593
4,4091.20551062,32.387124896,0.78952022987,0.808752748542,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",3,0.796198054608,0.797434763432,0.782839451649,0.820070733653,7.16645050049,0.707507014275,0.00667930131613,0.0113179851106
