,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_layers,param_optim,param_units1,param_units2,param_units3,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6969.98684204,47.4736673832,0.765371852436,0.766250244003,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",4,0.766933437451,0.770251805583,0.763810267421,0.762248682424,3.43538892269,0.333571434021,0.0015615850146,0.00400156157919
1,2650.51842344,18.4103105068,0.776790942813,0.777181339065,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",3,0.772203786855,0.775522154987,0.78137809877,0.778840523143,17.4399374723,0.0938816070557,0.00458715595749,0.00165918407765
2,10140.6768075,65.5098581314,0.779914112836,0.779230919389,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",2,0.780011711899,0.779230919383,0.779816513773,0.779230919395,52.1225584745,1.01541805267,9.7599063049e-05,5.81734660443e-12
3,5709.32906342,43.0075440407,0.622291626006,0.62912356042,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",5,0.755026351759,0.747804021093,0.489556900254,0.510443099746,1.76761245728,0.0861158370972,0.132734725752,0.118680460673
4,8196.81602788,53.8313125372,0.783134881917,0.784013273484,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",1,0.782744485665,0.784696466926,0.783525278169,0.783330080043,10.0259549618,0.107579350471,0.000390396252196,0.000683193441343
0,6970.02680707,48.2680106163,0.757708821233,0.75868462139,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",3,0.760148321624,0.766393442623,0.755269320843,0.750975800156,12.0061769485,0.360158443451,0.00243950039032,0.00770882123341
1,2632.8609091,19.3090549707,0.512978142077,0.517369242779,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",5,0.532396565183,0.517954722873,0.49355971897,0.516783762685,17.5276559591,0.0260809659958,0.0194184231069,0.000585480093677
2,9633.57617044,64.3058749437,0.7531225605,0.7531225605,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",4,0.750975800156,0.755269320843,0.755269320843,0.750975800156,131.172590494,1.39085590839,0.00214676034348,0.00214676034348
3,5859.7827605,44.6396729946,0.774590163934,0.772833723653,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",2,0.775370804059,0.781420765027,0.77380952381,0.764246682279,67.0730534792,0.0738379955292,0.000780640124902,0.00858704137393
4,8338.36627042,56.1191135645,0.779469164715,0.777517564403,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",1,0.778103044496,0.779078844653,0.780835284934,0.775956284153,69.9736593962,0.108958601952,0.00136612021858,0.0015612802498
